attempt, points, estimate
37, 1050, 11.93142857142857
38, 1050, 12.411428571428571
39, 1050, 11.542857142857143
40, 1050, 11.565714285714286
41, 1050, 11.657142857142857
42, 1050, 11.474285714285715
43, 1050, 11.84
44, 1050, 11.93142857142857
45, 1050, 12.754285714285714
46, 1050, 12.411428571428571
47, 1050, 12.251428571428571
48, 1050, 11.657142857142857
49, 1050, 11.588571428571429
50, 1050, 11.93142857142857
1, 1100, 11.236363636363636
2, 1100, 11.41090909090909
3, 1100, 11.585454545454546
4, 1100, 12.48
5, 1100, 12.305454545454545
6, 1100, 12.283636363636363
7, 1100, 11.607272727272727
8, 1100, 12.196363636363637
9, 1100, 12.196363636363637
10, 1100, 11.89090909090909
11, 1100, 12.545454545454545
12, 1100, 12.392727272727273
13, 1100, 11.89090909090909
14, 1100, 11.65090909090909
15, 1100, 12.414545454545454
16, 1100, 12.13090909090909
17, 1100, 11.781818181818181
18, 1100, 11.323636363636364
19, 1100, 12
20, 1100, 11.89090909090909
21, 1100, 12.196363636363637
22, 1100, 11.672727272727272
23, 1100, 12.196363636363637
24, 1100, 11.716363636363637
25, 1100, 12.545454545454545
26, 1100, 11.738181818181818
27, 1100, 11.41090909090909
28, 1100, 12.065454545454546
29, 1100, 11.694545454545455
30, 1100, 12.24
31, 1100, 12
32, 1100, 11.89090909090909
33, 1100, 12.610909090909091
34, 1100, 12.523636363636363
35, 1100, 12.392727272727273
36, 1100, 12.327272727272728
37, 1100, 11.847272727272728
38, 1100, 12.414545454545454
39, 1100, 12.392727272727273
40, 1100, 12.436363636363636
41, 1100, 11.825454545454546
42, 1100, 12.632727272727273
43, 1100, 11.847272727272728
44, 1100, 11.912727272727272
45, 1100, 11.781818181818181
46, 1100, 12.414545454545454
47, 1100, 11.41090909090909
48, 1100, 12.021818181818182
49, 1100, 12.545454545454545
50, 1100, 11.89090909090909
1, 1150, 12.041739130434783
2, 1150, 12.229565217391304
3, 1150, 12.459130434782608
4, 1150, 12.208695652173914
5, 1150, 11.895652173913044
6, 1150, 12.02086956521739
7, 1150, 11.52
8, 1150, 11.874782608695652
9, 1150, 12.417391304347825
10, 1150, 12.166956521739131
11, 1150, 11.540869565217392
12, 1150, 11.728695652173913
13, 1150, 12.459130434782608
14, 1150, 12.563478260869566
15, 1150, 12.083478260869565
16, 1150, 12.229565217391304
17, 1150, 12.667826086956522
18, 1150, 11.97913043478261
19, 1150, 12.187826086956521
20, 1150, 11.645217391304348
21, 1150, 12.041739130434783
22, 1150, 12.187826086956521
23, 1150, 12.292173913043479
24, 1150, 11.52
25, 1150, 11.582608695652175
26, 1150, 12.396521739130435
27, 1150, 11.728695652173913
28, 1150, 12.354782608695652
29, 1150, 12.33391304347826
30, 1150, 12.354782608695652
31, 1150, 11.958260869565217
32, 1150, 12.980869565217391
33, 1150, 11.853913043478261
34, 1150, 11.749565217391304
35, 1150, 11.833043478260869
36, 1150, 12
37, 1150, 11.770434782608696
38, 1150, 11.895652173913044
39, 1150, 11.916521739130435
40, 1150, 11.290434782608695
41, 1150, 11.791304347826086
42, 1150, 11.853913043478261
43, 1150, 11.958260869565217
44, 1150, 11.791304347826086
45, 1150, 11.582608695652175
46, 1150, 12.459130434782608
47, 1150, 12.709565217391305
48, 1150, 12.083478260869565
49, 1150, 11.895652173913044
50, 1150, 11.728695652173913
1, 1200, 12.24
2, 1200, 12.24
3, 1200, 12.02
4, 1200, 12.16
5, 1200, 11.58
6, 1200, 11.66
7, 1200, 12.3
8, 1200, 12.6
9, 1200, 12.38
10, 1200, 12.48
11, 1200, 11.98
12, 1200, 11.76
13, 1200, 12.02
14, 1200, 11.7
15, 1200, 12.36
16, 1200, 12.38
17, 1200, 12.12
18, 1200, 11.9
19, 1200, 11.7
20, 1200, 11.44
21, 1200, 11.62
22, 1200, 11.96
23, 1200, 12.34
24, 1200, 12.12
25, 1200, 12.08
26, 1200, 12.62
